
ration      F       itrs    alpha       lamda       TopN        precision               recall                  coverage                popularity              F1                      Time used
<RandomSelectNegativeSample>
random      100     100     0.02        0.01        10          0.20806291390728476     0.11299633146309883     0.3439610915968657      7.302047252501179       0.14645487600223756     1705.826343536377 sec
random      100     100     0.02        0.01        20          0.16807119205298013     0.18255466839303697     0.41610375574169145     7.2194980679916085      0.17501379215226537     1609.3568813800812 sec
random      100     100     0.02        0.01        30          0.1452924944812362      0.23671953675730112     0.4674412320994326      7.1648152880149745      0.18006538629897134     1617.6662073135376 sec
random      100     100     0.02        0.01        40          0.12909354304635762     0.2804362681628543      0.49500135098621995     7.112184975959913       0.17680037186522155     1597.982063293457 sec
random      100     100     0.02        0.01        50          0.11790397350993377     0.32016076823478634     0.5263442312888409      7.067760981151444       0.1723408580500271      1588.2390811443329 sec

<ImprovedRandomSelectNegativeSample>
1           100     100     0.02        0.01        10          0.20589403973509934     0.11181844338944037     0.34450148608484193     7.2997084872815785      0.14492821182174156     1558.1130588054657 sec
1           100     100     0.02        0.01        20          0.16675496688741723     0.18112501798302402     0.422318292353418       7.2245212374145495      0.17364319702089512     1565.0058951377869 sec
1           100     100     0.02        0.01        30          0.14458057395143487     0.23555963170766797     0.46609024587949205     7.16401774096103        0.1791830816371197      1622.2201523780823 sec
1           100     100     0.02        0.01        40          0.12911009933774834     0.28                    0.4947311537422318      7.114060505127706       0.17682304657385148     1611.0102558135986 sec
1           100     100     0.02        0.01        50          0.11791059602649007     0.3201787512588117      0.5309375844366387      7.065115822778226       0.1723505382173004      1618.9745740890503 sec

2           100     100     0.02        0.01        10          0.22559602649006621     0.12251834268450583     0.30964604161037557     7.26951182721841        0.15879638262166698     2368.9267852306366 sec
2           100     100     0.02        0.01        20          0.18072019867549668     0.19629369874838154     0.37611456363145096     7.193384048615693       0.1881852975656851      2300.604733943939 sec
2           100     100     0.02        0.01        30          0.155                   0.2525356063875701      0.42610105376925156     7.129107761759028       0.19209619172685485     2336.5145223140717 sec
2           100     100     0.02        0.01        40          0.13785596026490066     0.2994712990936556      0.45690353958389623     7.07819016019189        0.1888009614076459      2271.2177069187164 sec
2           100     100     0.02        0.01        50          0.12477814569536423     0.3388271471730686      0.4895974061064577      7.031628641411205       0.18238887167970264     2282.246210336685 sec

3           100     100     0.02        0.01        10          0.2307450331125828      0.1253147029204431      0.3004593353147798      7.264607705003225       0.16242075330971473     2657.431074142456 sec
3           100     100     0.02        0.01        20          0.18531456953642383     0.20128398791540786     0.3699000270197244      7.178833332347848       0.19296945038273222     2759.7387783527374 sec
3           100     100     0.02        0.01        30          0.1592494481236203      0.2594590706373184      0.422318292353418       7.112654486428191       0.19736266141387612     2636.1105103492737 sec
3           100     100     0.02        0.01        40          0.141158940397351       0.3066465256797583      0.4536611726560389      7.062083930365806       0.19332456577932974     2638.7751965522766 sec
3           100     100     0.02        0.01        50          0.12790066225165564     0.34730614300100704     0.4893272088624696      7.0167213377171125      0.1869530705490591      2604.9108057022095 sec

5           100     100     0.02        0.01        10          0.22990066225165562     0.12485613580779743     0.29559578492299377     7.261878535139397       0.16182640313257504     2596.262670516968 sec
5           100     100     0.02        0.01        20          0.1842384105960265      0.20011509135376204     0.37098081599567684     7.1799879076281385      0.1918488380111716      2594.4347081184387 sec
5           100     100     0.02        0.01        30          0.15985651214128035     0.260448136958711       0.42204809510942987     7.115430128787795       0.19811501422630776     2604.8266048431396 sec
5           100     100     0.02        0.01        40          0.14138245033112581     0.30713206732844195     0.45798432855984866     7.063310110193898       0.19363067434583464     2630.5096595287323 sec
5           100     100     0.02        0.01        50          0.127841059602649       0.3471442957847792      0.48608484193461227     7.018926910635617       0.18686594904359946     2598.42253446579 sec

10          100     100     0.02        0.01        10          0.2309933774834437      0.125449575600633       0.29208322075114834     7.263423530291352       0.16259556218534402     2608.079301595688 sec
10          100     100     0.02        0.01        20          0.18503311258278146     0.20097827650697742     0.37152121048365305     7.1795112890948305      0.19267636714709332     2623.581444501877 sec
10          100     100     0.02        0.01        30          0.1594701986754967      0.2598187311178248      0.41907592542556066     7.1142602146258795      0.19763624425476037     2616.267139196396 sec
10          100     100     0.02        0.01        40          0.14110099337748344     0.30652064451158106     0.45717373682788437     7.062827116622264       0.19324520429912476     2594.484773874283 sec

20          100     100     0.02        0.01        10          0.23079470198675497     0.1253416774564811      0.29505539043501755     7.264907204023217       0.16245571508484058     2607.4507060050964 sec
20          100     100     0.02        0.01        30          0.1598233995584989      0.26039418788663504     0.42312888408538235     7.11358215622171        0.1980739768001751      2607.9628019332886 sec
20          100     100     0.02        0.01        40          0.14127069536423842     0.30688929650410013     0.4547419616319914      7.0611464100090044      0.1934776200625822      2600.470621109009 sec



<SelectPositiveNegativeSample>
1           100     100     0.02        0.01        10          0.0035596026490066226   0.0019331750827219106   0.3153201837341259      1.822080636520952       0.0025055938840201383   1465.659465789795 sec
1           100     100     0.02        0.01        10          0.0031456953642384107   0.005125161847216228    0.47905971359092137     1.815811641772201       0.0038985554826001315   1442.3667931556702 sec
2           100     100     0.02        0.01        10          0.015447019867549669    0.008389080707811825    0.3650364766279384      1.5454251479295653      0.010873112064143202    2072.4838230609894 sec


1           100     100     0.02        0.01        all         0.005180980968734893    0.999946050927924       1.0                     4.395953217873096       0.010308550651241134    1472.6452457904816 sec
2           100     100     0.02        0.01        all         0.005180980968734893    0.999946050927924       1.0                     4.395953217873096       0.010308550651241134    2127.8761389255524 sec
