K个兴趣相似的用户；最终推荐给用户的指定N个物品

K       N       precision               recall                          coverage                popularity              Time used						F1
20      10      0.20821192052980134     0.11307725507121277             0.34963523372061606     7.067345000659595       351.53164076805115 sec          0.14655976132761514
30      10      0.21903973509933775     0.11895770392749244             0.30262091326668467     7.134410231490241       351.44846200942993 sec          0.1541814283050531
40      10      0.22509933774834437     0.12224859732412602             0.2753309916238854      7.174134103050177       358.8636190891266 sec           0.15844676487040832
80      10      0.23158940397350994     0.12577327003308877             0.2172385841664415      7.266747747498001       393.82917165756226 sec          0.16301510348685438
160     10      0.22829470198675497     0.12398395914256942             0.16455012158875978     7.354540659235758       461.4932539463043 sec           0.1606959724035055

20      20      0.16702814569536423     0.1814217378794418              0.43771953526074037     6.953079198097495       345.0146384239197 sec           0.17392766016136818
80      20      0.1794453642384106      0.19490900589843188             0.2818157254796001      7.151691728218381       391.9850718975067 sec           0.18685780291014412
160     20      0.17538079470198675     0.1904941735002158              0.2196703593623345      7.243788169897964       455.2260663509369 sec           0.18262533618371146

20      30      0.14427704194260485     0.23506509854697166             0.4960821399621724      6.878107174588901       348.61803436279297 sec          0.17880690523090392
70      30      0.15163907284768213     0.24705977557186015             0.3488246419886517      7.058490956224294       385.61278223991394 sec          0.18793089297439264
80      30      0.1516942604856512      0.24714969069198675             0.3299108349094839      7.076478966936199       391.7517216205597 sec           0.1879992886846137
90      30      0.15103200883002207     0.24607070925046756             0.31856255066198325     7.092645260266049       402.0292489528656 sec           0.18717854016196103
160     30      0.1477373068432671      0.2407027765789095              0.2558767900567414      7.171859174110533       465.1465299129486 sec           0.18309531626176406

20      40      0.12832367549668874     0.2787638469284995              0.5379627127803296      6.81971844166285        342.3109383583069 sec           0.17574599791392684
80      40      0.1330587748344371      0.2890501366709826              0.36908943528776006     7.019380034110335       393.0432958602905 sec           0.1822309645821051
160     40      0.12961506622516555     0.2815691986764494              0.28289651445555253     7.116927726173643       458.3048098087311 sec           0.17751462518706632

20      50      0.11605298013245033     0.3151345130197094              0.5709267765468792      6.772855103161402       344.350444316864 sec            0.1696352512971424
80      50      0.11940728476821193     0.324242914688534               0.3988111321264523      6.972905302926728       394.9202561378479 sec           0.17453825602106404
160     50      0.11645033112582781     0.3162134944612286              0.310726830586328       7.071411114569715       457.01226353645325 sec          0.17021606133353984

20      80      0.09252897350993378     0.4020105020860308              0.6544177249392056      6.6658908706244535      349.5535366535187 sec           0.15043336653118355
80      80      0.09390935430463576     0.40800784059847506             0.45798432855984866     6.870903173972138       392.39400720596313 sec          0.1526775860676698
160     80      0.09149006622516556     0.39749676305567544             0.3747635774115104      6.969159880931939       461.06243443489075 sec          0.1487443137466017

20      160     0.0627369619205298      0.5451463818155661              0.8173466630640367      6.488468956999372       346.68520069122314 sec          0.11252431292779617
80      160     0.06329056291390728     0.5499568407423392              0.5617400702512835      6.705259143214597       394.68388533592224 sec          0.11351724547519708
160     160     0.061693915562913905    0.5360829377068048              0.46419886517157527     6.798211534900694       461.5431478023529 sec           0.11065351665157162

3       all     0.037725153288727796    0.7593421809811538              0.9808159956768441      5.763802486746409       329.3485209941864 sec           0.0718792476983167
5       all     0.030086009394478506    0.8454359085023737              0.985409348824642       5.697539687778796       334.1447021961212 sec           0.05810429679872058
10      all     0.021864294451544336    0.9189864767659329              0.9894623074844636      5.600175202361472       342.22013688087463 sec          0.04271238657539067
20      all     0.016024815990124064    0.9594213062868652              0.9986490137800594      5.4947958244024         343.2065029144287 sec           0.03152311447886548
40      all     0.011954593601945375    0.9800748093799453              1.0                     5.371759457490397       362.37824964523315 sec          0.023621066090225972
80      all     0.009219135723180245    0.9906128614587829              1.0                     5.227397032144219       392.7899520397186 sec           0.01826825795665028
